source_id,year,venue,record_count,record_share,confirmed_monolith,gel_or_intermediate,powder_only_condition,explicit_failure,framework_families,source_url
SRC01,2019,"Nature Communications 10, 2345",4,0.0816,3,0,0,1,UiO,https://www.nature.com/articles/s41467-019-10185-1
SRC02,2017,"Chemical Science 8, 3939-3948",19,0.3878,10,8,1,0,MOF-801|MOF-808|NU-1000|UiO,https://pubs.rsc.org/en/content/articlelanding/2017/sc/c6sc05602d
SRC03,2021,"Materials Today Nano 17, 100166",2,0.0408,2,0,0,0,ZIF,https://arxiv.org/pdf/2109.14670
SRC04,2024,arXiv preprint,1,0.0204,1,0,0,0,MOF-801,https://arxiv.org/pdf/2407.00470
SRC05,2018,"Nature Materials 17, 174-179",8,0.1633,5,0,2,1,HKUST-1,https://www.repository.cam.ac.uk/items/e84c3326-9974-45fc-8c3a-d608b6da9c64
SRC06,2015,"Journal of Materials Chemistry A 3, 2999-3005",5,0.1020,4,0,1,0,ZIF,https://pubs.rsc.org/en/content/articlelanding/2015/ta/c4ta05116e
SRC07,2021,"Advanced Functional Materials 31, 2008357",6,0.1224,4,0,2,0,ZIF,https://discovery.ucl.ac.uk/id/eprint/10117467
SRC08,2022,"Journal of the American Chemical Society 144, 13729-13739",1,0.0204,1,0,0,0,HKUST,https://pubs.acs.org/doi/10.1021/jacs.2c04608
SRC09,2025,"Small 21, 2500510",3,0.0612,1,0,2,0,ZIF,https://doi.org/10.1002/smll.202500510
